上海	31.22222	121.45806	24874500	PPLA	CN	1796236
上海市	31.22222	121.45806	24874500	PPLA	CN	1796236
中国上海	31.22222	121.45806	24874500	PPLA	CN	1796236
北京	39.90750	116.39723	18960744	PPLC	CN	1816670
北京市	39.90750	116.39723	18960744	PPLC	CN	1816670
宝安	22.54554	114.06830	17494398	PPLA2	CN	1795565
寶安	22.54554	114.06830	17494398	PPLA2	CN	1795565
新安	22.54554	114.06830	17494398	PPLA2	CN	1795565
深圳	22.54554	114.06830	17494398	PPLA2	CN	1795565
深圳市	22.54554	114.06830	17494398	PPLA2	CN	1795565
广州	23.11667	113.25000	16096724	PPLA	CN	1809858
广州市	23.11667	113.25000	16096724	PPLA	CN	1809858
廣州	23.11667	113.25000	16096724	PPLA	CN	1809858
金夏沙	-4.32758	15.31357	16000000	PPLC	CD	2314302
雷堡城	-4.32758	15.31357	16000000	PPLC	CD	2314302
伊斯坦堡	41.01384	28.94966	15701602	PPLA	TR	745044
伊斯坦布尔	41.01384	28.94966	15701602	PPLA	TR	745044
拉哥斯	6.45407	3.39467	15388000	PPLA2	NG	2332459
胡志明市	10.82302	106.62965	14002598	PPL	VN	1566083
天府	30.66667	104.06667	13568357	PPLA	CN	1815286
成都	30.66667	104.06667	13568357	PPLA	CN	1815286
成都市	30.66667	104.06667	13568357	PPLA	CN	1815286
拉合尔	31.55800	74.35071	13004135	PPLA	PK	1172451
拉合爾	31.55800	74.35071	13004135	PPLA	PK	1172451
孟买	19.07283	72.88261	12691836	PPLA	IN	1275339
孟買	19.07283	72.88261	12691836	PPLA	IN	1275339
圣保罗	-23.54750	-46.63611	12400232	PPLA	BR	3448439
聖保羅	-23.54750	-46.63611	12400232	PPLA	BR	3448439
墨西哥城	19.42847	-99.12766	12294193	PPLC	MX	3530597
卡拉奇	24.86080	67.01040	11624219	PPLA	PK	1174872
喀拉蚩	24.86080	67.01040	11624219	PPLA	PK	1174872
天津	39.14222	117.17667	11090314	PPLA	CN	1792947
天津市	39.14222	117.17667	11090314	PPLA	CN	1792947
德里	28.65195	77.23149	11034555	PPLA	IN	1273294
武汉	30.58333	114.26667	10392693	PPLA	CN	1791247
武汉市	30.58333	114.26667	10392693	PPLA	CN	1791247
莫斯科	55.75204	37.61781	10381222	PPLC	RU	524901
达卡	23.71040	90.40744	10356500	PPLC	BD	1185241
達卡	23.71040	90.40744	10356500	PPLC	BD	1185241
首尔	37.56600	126.97840	10349312	PPLC	KR	1835848
首尔特别市	37.56600	126.97840	10349312	PPLC	KR	1835848
首爾	37.56600	126.97840	10349312	PPLC	KR	1835848
东京	35.68950	139.69171	9733276	PPLC	JP	1850147
東京	35.68950	139.69171	9733276	PPLC	JP	1850147
东莞	23.01797	113.74866	9644871	PPLA2	CN	1812545
东莞市	23.01797	113.74866	9644871	PPLA2	CN	1812545
开罗	30.06263	31.24967	9606916	PPLC	EG	360630
開羅	30.06263	31.24967	9606916	PPLC	EG	360630
西安	34.25833	108.92861	9600000	PPLA	CN	1790630
西安市	34.25833	108.92861	9600000	PPLA	CN	1790630
约翰内斯堡	-26.20227	28.04363	9418183	PPLA	ZA	993800
南京	32.06167	118.77778	9314685	PPLA	CN	1799962
南京市	32.06167	118.77778	9314685	PPLA	CN	1799962
杭州	30.29365	120.16142	9236032	PPLA	CN	1808926
杭州市	30.29365	120.16142	9236032	PPLA	CN	1808926
佛山	23.02677	113.13148	9042509	PPLA2	CN	1811103
佛山市	23.02677	113.13148	9042509	PPLA2	CN	1811103
伦敦	51.50853	-0.12574	8961989	PPLC	GB	2643743
倫敦	51.50853	-0.12574	8961989	PPLC	GB	2643743
紐約	40.71427	-74.00597	8804190	PPL	US	5128581
紐約市	40.71427	-74.00597	8804190	PPL	US	5128581
纽约	40.71427	-74.00597	8804190	PPL	US	5128581
纽约市	40.71427	-74.00597	8804190	PPL	US	5128581
